Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,HDMI - USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//dell/gaming-g15-5530-g155530013u-i7-13650hx-16gb-ddr5-1tb-ssd-rtx4060-8gb-fhd-ubuntu-gaming-laptop-p-750510203,40.899 TL
,USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nv-lp039-amd-r7-7735hs-16gb-512gb-ssd-r4060-144hz-dos-15-6-fhd-p-650574634,37.999 TL
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//acer/nitro5-intel-core-i7-12700h-8gb-1tb-ssd-8gb-rtx4060-dos-15-6-gaming-laptop-acer-turkiye-garantili-p-741177833,33.999 TL
32 GB,Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,TN,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),i5-11320H,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//acer/intel-core-i5-11400h-16gb-ram-512gb-ssd-rtx3050ti-freedos-17-3-fhd-oyuncu-dizustu-bilgisayar-p-767449933,26.599 TL
,USB - Bluetooth - HDMI,,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,Full HD,32 GB,DDR4,Gri,500 GB,,,,1920 x 1080,Full HD (FHD),1155G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//casper/nirvana-x600-1155-dv00x-g-f-intel-core-i5-1155g7-32-gb-ram-500gb-nvme-ssd-gen4-freedos-p-761306309,14.799 TL
,Bluetooth,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,DDR4,4 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,QHD,11400H,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//acer/nitro5-intel-core-i5-11400h-8gb-512gb-4gb-rtx3050-15-6-fhd-dos-gaming-pc-acer-turkiye-garantili-p-743338393,22.799 TL
32 GB,USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,,,Yok,IPS,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//lenovo/ip-gaming-3-15iah7-82s900ubtx-i5-12500h-16-gb-512-gb-ssd-rtx3060-15-6-dos-dizustu-bilgisayar-p-686325051,27.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",AMD Radeon RX6500M,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),5600H,5. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-gaming-laptop-15-fb0015nt-r5-5600h-16gb-512gb-ssd-rx6500m-dos-15-6-fhd-144hz-7j3t4ea-p-467360063,22.799 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//monster/tulpar-t7-v20-6-2-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-17-3-fhd-144-hz-p-736980364,42.199 TL
,HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR5,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0006nt-intel-i7-13700h-ddr5-16gb-1tb-ssd-gen4-16-1-144hz-8gb-rtx-4070-freedos-7p632ea-p-738804739,44.459 TL
