Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price,marka
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.9,,,IPS,8 GB,DDR5,Siyah,512 GB,,,2.4,1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,10,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/nitro-core-i7-13620h-8gb-512-gb-ssd-rtx-4050-6-gb-freedos-15-6-fhd-notebook-nh-qnbey-005-p-774623904,33.999 TL,ACER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/rog-strix-g15-r7-6800hs-64gb-2tb-ssd-rtx3050-4gb-144hz-15-6-fhd-w11pro-g513rc-hn192-p-750370398,50.510 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,64 GB,DDR5,Gri,512 GB,Gen 4,,,1920 x 1080,Full HD (FHD),6800HS,6. Nesil,AMD Ryzen 7,8,Windows,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g15-r7-6800hs-64gb-512gb-ssd-rtx3050-4gb-144hz-15-6-fhd-w11home-g513rc-hn192-p-750366365,45.325 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,64 GB,DDR5,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),6800HS,6. Nesil,AMD Ryzen 7,8,Windows,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g15-r7-6800hs-64gb-1tb-ssd-rtx3050-4gb-144hz-15-6-fhd-w11home-g513rc-hn192-p-750364947,47.260 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR5,Gri,2 TB,Gen 4,,,1920 x 1080,Full HD (FHD),6800HS,6. Nesil,AMD Ryzen 7,8,Windows,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g15-r7-6800hs-32gb-2tb-ssd-rtx3050-4gb-144hz-15-6-fhd-w11home-g513rc-hn192-p-750364811,45.193 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,64 GB,DDR5,Gri,2 TB,Gen 4,,,1920 x 1080,Full HD (FHD),6800HS,6. Nesil,AMD Ryzen 7,8,Windows,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g15-r7-6800hs-64gb-2tb-ssd-rtx3050-4gb-144hz-15-6-fhd-w11home-g513rc-hn192-p-750364412,49.458 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR5,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),6800HS,6. Nesil,AMD Ryzen 7,8,Windows,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g15-r7-6800hs-32gb-1tb-ssd-rtx3050-4gb-144hz-15-6-fhd-w11home-g513rc-hn192-p-750363292,43.083 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR5,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),6800HS,6. Nesil,AMD Ryzen 7,8,Windows,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g15-r7-6800hs-16gb-1tb-ssd-rtx3050-4gb-144hz-15-6-fhd-w11home-g513rc-hn192-p-750362116,41.148 TL,ASUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/rog-strix-g15-r7-6800hs-16gb-2tb-ssd-rtx3050-4gb-144hz-15-6-fhd-w11home-g513rc-hn192-p-750361150,43.259 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR5,Gri,512 GB,Gen 4,,,1920 x 1080,Full HD (FHD),6800HS,6. Nesil,AMD Ryzen 7,8,Free Dos,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g15-r7-6800hs-32gb-512gb-ssd-rtx3050-4gb-144hz-15-6-fhd-fdos-g513rc-hn192-p-750356416,40.273 TL,ASUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/rog-strix-g15-r7-6800h-16gb-1tb-ssd-rtx3050-4gb-15-6-fhd-w11-pro-g513rc-hn193-p-681054589,42.024 TL,ASUS
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.7,,,,64 GB,DDR5,Gri,512 GB,,,3.2,1920 x 1080,Full HD (FHD),6800H,6. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/rog-strix-g15-r7-6800h-64gb-512gb-ssd-rtx3050-4gb-15-6-fhd-dos-g513rc-hn193-p-681038885,44.361 TL,ASUS
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.7,,,,16 GB,DDR5,Gri,2 TB,,,3.2,1920 x 1080,Full HD (FHD),6800H,6. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//asus/rog-strix-g15-r7-6800h-16gb-2tb-ssd-rtx3050-4gb-15-6-fhd-w11-pro-g513rc-hn193-p-680130507,44.179 TL,ASUS
,,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce MX550,GDDR6,2 GB,Harici,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,,32 GB,DDR4,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),1255U,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//hp/250-g9-723p5ea05-i7-1255u-32gb-1tbssd-mx550-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-466885418,27.979 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,64 GB,DDR5,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//hp/victus-16-r0008nt-i7-13700h-64gb-1tb-ssd-rtx4070-8gb-144hz-16-1-fhd-w11-home-7p633ea-p-766070095,62.692 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,64 GB,DDR5,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0008nt-i7-13700h-64gb-1tb-ssd-rtx4070-8gb-144hz-16-1-fhd-fdos-7p633ea-p-766063802,61.358 TL,HP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hp/victus-16-r0057nt-i5-13500h-64gb-1tb-ssd-144hz-16-1-rtx3050-6gb-fhd-fdos-7p6d2ea-p-750079438,40.660 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,64 GB,DDR5,Mavi,512 GB,Gen 4,,,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12,Free Dos,4-6 Saat,https://www.trendyol.com//hp/victus-16-r0057nt-i5-13500h-64gb-512gb-ssd-144hz-16-1-rtx3050-6gb-fhd-fdos-7p6d2ea-p-750079300,38.767 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,+5,,,IPS,16 GB,DDR5,Pembe,512 GB,,,,1920 x 1080,Full HD (FHD),7940HS,7. Nesil,AMD Ryzen 9,8,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507xi-lp043-amd-ryzen-9-7940hs-16gb-512gb-ssd-rtx4070-144hz-fdos-15-6-fhd-p-737067977,54.999 TL,ASUS
,,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4080,GDDR6,12 GB,Harici,240 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,+5,,,IPS,64 GB,DDR5,Gri,2 TB,,,,2560 x 1440,QHD,13900HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//hp/omen-17-ck2005nt-i9-13900hx-64gb-ram-2tb-ssd-rtx4080-12gb-240hz-17-3-qhd-w11-pro-7p6d5ea-p-688045477,122.715 TL,HP
,HDMI - USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),11400,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hf-hn014-intel-core-i5-11400h-8gb-512gb-ssd-rtx2050-freedos-15-6-fhd-144hz-p-757681717,26.999 TL,ASUS
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,DDR4,Paylaşımlı,Dahili,90 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,VA,16 GB,DDR4,Beyaz,500 GB,,,,1920 x 1080,Full HD (FHD),12450H,10. Nesil,Intel Core i5,2,Windows,,https://www.trendyol.com//casper/excalibur-g870-1245-bva0p-b-intel-core-i5-12450h-islemci-16-gb-ram-500-gb-nvme-ssd-rtx4050-6-p-744036299,32.999 TL,Casper
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.7,,,,32 GB,DDR5,Gri,2 TB,,,3.2,1920 x 1080,Full HD (FHD),6800H,6. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/rog-strix-g15-r7-6800h-32gb-2tb-ssd-rtx3050-4gb-15-6-fhd-dos-g513rc-hn193-p-680130377,44.232 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,+5,,,IPS,64 GB,DDR5,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0017nt-r7-7840hs-64gb-1tb-ssd-rtx4050-6gb-16-1-144hz-fhd-fdos-7z587ea-p-741162372,46.900 TL,HP
,,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.7,,,IPS,32 GB,DDR5,Siyah,2 TB,,,,2560 x 1440,QHD,12700H,12. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/omen-16-k0009nt-i7-12700h-32gb-2tb-ssd-rtx3060-6gb-16-1-165hz-qhd-fdos-7h8z6ea-p-689223746,51.633 TL,HP
,,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.7,,,IPS,64 GB,DDR5,Siyah,512 GB,,,,2560 x 1440,QHD,12700H,12. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/omen-16-k0009nt-i7-12700h-64gb-512gb-ssd-rtx3060-6gb-16-1-165hz-qhd-fdos-7h8z6ea-p-689223732,51.762 TL,HP
,,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.7,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,2560 x 1440,QHD,12700H,12. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/omen-16-k0009nt-i7-12700h-32gb-1tb-ssd-rtx3060-6gb-16-1-165hz-qhd-fdos-7h8z6ea-p-689223704,49.568 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.5,,,LED,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//acer/nitro-5-an515-57-intel-i5-11400h-8gb-512gb-ssd-rtx3050-windows-10-home-15-6-nh-qeley-008a1-p-787190094,26.000 TL,ACER
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.5,,,LED,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//acer/nitro-5-an515-57-intel-i5-11400h-8gb-512gb-ssd-rtx3050-windows-11-pro-15-6-uyumlu-p-787180940,25.750 TL,ACER
,USB - Bluetooth - HDMI,,2 kg ve Altı,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Gümüş,2 TB,,,,1920 x 1200,WUXGA,13500H,13. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//asus/vivobook-16x-k3605vu-n1166a1-i5-13500h-16gb-2tbssd-rtx4050-16-fullhd-freedos-tasinabilir-bilg-p-785842982,40.649 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR5,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),6800HS,6. Nesil,AMD Ryzen 7,8,Free Dos,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g15-r7-6800hs-16gb-1tb-ssd-rtx3050-4gb-144hz-15-6-fhd-fdos-g513rc-hn192-p-750352173,40.273 TL,ASUS
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Metalik,512 GB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-3-ryzen-7-7735hs-16gb-ddr5-512gb-ssd-6gb-rtx4050-15-6-inc-ips-fhd-fdos-g82sb00p4tr01-p-741803631,"39.399,98 TL",LENOVO
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.9,,,IPS,64 GB,DDR5,Gri,1 TB,,,,1920 x 1200,FHD+,13650HX,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//asus/rog-strix-g16-i7-13650hx-64gb-ram-1tb-ssd-rtx4070-8gb-165hz-16-fhd-w11pro-g614ji-n3187-p-700104258,77.587 TL,ASUS
,,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4080,GDDR6,12 GB,Harici,240 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,+5,,,IPS,64 GB,DDR5,Gri,1 TB,,,,2560 x 1440,QHD,13900HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//hp/omen-17-ck2005nt-i9-13900hx-64gb-ram-1tb-ssd-rtx4080-12gb-240hz-17-3-qhd-w11-pro-7p6d5ea-p-688041095,120.470 TL,HP
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.7,,,,64 GB,DDR5,Gri,2 TB,,,3.2,1920 x 1080,Full HD (FHD),6800H,6. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//asus/rog-strix-g15-r7-6800h-64gb-2tb-ssd-rtx3050-4gb-15-6-fhd-w11-pro-g513rc-hn193-p-680131491,50.510 TL,ASUS
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.7,,,,32 GB,DDR5,Gri,1 TB,,,3.2,1920 x 1080,Full HD (FHD),6800H,6. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/rog-strix-g15-r7-6800h-32gb-1tb-ssd-rtx3050-4gb-15-6-fhd-dos-g513rc-hn193-p-680121651,42.166 TL,ASUS
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.7,,,,16 GB,DDR5,Gri,512 GB,,,3.2,1920 x 1080,Full HD (FHD),6800H,6. Nesil,AMD Ryzen 7,6,Free Dos,,https://www.trendyol.com//asus/rog-strix-g15-r7-6800h-16gb-512gb-ssd-rtx3050-4gb-15-6-fhd-dos-g513rc-hn193-p-680121521,38.379 TL,ASUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/rog-strix-g16-i7-13650hx-32gb-512gb-ssd-rtx4070-8gb-165hz-16-wuxga-w11pro-g614ji-n3188-p-748038873,72.199 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.9,,,IPS,16 GB,DDR5,Siyah,1 TB,Gen 4,,2.6,1920 x 1200,WQXGA,13650HX,13. Nesil,Intel Core i7,14,Windows,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g16-i7-13650hx-16gb-1tb-ssd-rtx4070-8gb-165hz-16-wuxga-w11pro-g614ji-n3188-p-748038492,71.031 TL,ASUS
,USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.5,,,IPS,64 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Windows,,https://www.trendyol.com//lenovo/ideapad-g3-i5-12500h-64gb-1tb-ssd-rtx3060-15-6-fhd-w11pr-tasinabilir-bilgisayar-82s900ubtx-p-705370684,42.877 TL,LENOVO
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,+5,,,IPS,32 GB,DDR5,Siyah,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),7940HS,7. Nesil,AMD Ryzen 9,8,Free Dos,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-a15-ryzen-9-7940hs-32gb-1tb-ssd-rtx4070-8gb-15-6-fhd-fdos-fa507xi-lp042-p-757160637,62.004 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,+5,,,IPS,16 GB,DDR5,Siyah,2 TB,Gen 4,,,1920 x 1080,Full HD (FHD),7940HS,7. Nesil,AMD Ryzen 9,8,Windows,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-a15-ryzen-9-7940hs-16gb-2tb-ssd-rtx4070-8gb-15-6-fhd-w11home-fa507xi-lp042-p-757158996,63.528 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,+5,,,IPS,16 GB,DDR5,Siyah,512 GB,Gen 4,,,1920 x 1080,Full HD (FHD),7940HS,7. Nesil,AMD Ryzen 9,8,Windows,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-a15-ryzen-9-7940hs-16gb-512gb-ssd-rtx4070-8gb-15-6-fhd-w11home-fa507xi-lp042-p-757157778,59.483 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,+5,,,IPS,32 GB,DDR5,Siyah,512 GB,Gen 4,,,1920 x 1080,Full HD (FHD),7940HS,7. Nesil,AMD Ryzen 9,8,Windows,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-a15-ryzen-9-7940hs-32gb-512gb-ssd-rtx4070-8gb-15-6-fhd-w11-pro-fa507xi-lp042-p-757156824,62.724 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,+5,,,IPS,64 GB,DDR5,Siyah,512 GB,Gen 4,,,1920 x 1080,Full HD (FHD),7940HS,7. Nesil,AMD Ryzen 9,8,Windows,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-a15-ryzen-9-7940hs-64gb-512gb-ssd-rtx4070-8gb-15-6-fhd-w11home-fa507xi-lp042-p-757146351,65.594 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,+5,,,IPS,32 GB,DDR5,Siyah,2 TB,Gen 4,,,1920 x 1080,Full HD (FHD),7940HS,7. Nesil,AMD Ryzen 9,8,Windows,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-a15-ryzen-9-7940hs-32gb-2tb-ssd-rtx4070-8gb-15-6-fhd-w11home-fa507xi-lp042-p-757135789,65.462 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,+5,,,IPS,16 GB,DDR5,Siyah,2 TB,Gen 4,,,1920 x 1080,Full HD (FHD),7940HS,7. Nesil,AMD Ryzen 9,8,Windows,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-a15-ryzen-9-7940hs-16gb-2tb-ssd-rtx4070-8gb-15-6-fhd-w11-pro-fa507xi-lp042-p-757132661,64.879 TL,ASUS
