Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price,marka
128 GB,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),13900H,13. Nesil,Intel Core i9,10,Free Dos,,https://www.trendyol.com//msi/nb-katana-15-b13vgk-1469xtr-i9-13900h-16gb-ddr5-rtx4070-gddr6-8gb-512gb-ssd-15-6-fhd-144hz-dos-p-762731708,54.499 TL,MSI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-lp052-amd-ryzen-7-7735hs-8gb-ddr5-512gb-ssd-6gb-rtx4050-15-6-144hz-dos-p-687053896,29.949 TL,ASUS
32 GB,Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,TN,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),i5-11320H,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//acer/intel-core-i5-11400h-16gb-ram-512gb-ssd-rtx3050ti-freedos-17-3-fhd-oyuncu-dizustu-bilgisayar-p-767449933,26.999 TL,ACER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/rog-strix-g15-g513rc-hn192-ryzen-7-6800hs-16gb-ram-512gb-ssd-4gb-rtx3050-15-6-inc-fhd-144hz-p-675112965,34.299 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR4,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1265-dqb0x-b-intel-core-i7-12650h-32gb-1tb-nvme-rtx4060-fdos-p-776821201,35.499 TL,Casper
,Micro USB,,Belirtilmemiş,Yok,"15,6 inç",Nvidia GeForce RTX 4050,Belirtilmemiş,12 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,Yok,Q Türkçe,Oyun,,,,,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Ultra HD 4K (UHD),550,12. Nesil,Intel Core i5,16,Free Dos,,https://www.trendyol.com//msi/thin-gf63-12ve-082xtr-intel-core-i5-12450h-8gb-512gb-ssd-rtx4050-freedos-15-6-fhd-144hz-p-680143031,"28.488,75 TL",MSI
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Mavi,512 GB,,,,1920 x 1080,Full HD (FHD),6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-16-e1014nt-amd-ryzen-5-6600h-16gb-512gb-rtx3050ti-16-1-fhd-144hz-dos-79y91ea-p-752671808,25.999 TL,HP
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q İngilizce,Oyun,4.5,,Yok,IPS,8 GB,DDR5,Siyah,512 GB,,,3.3,1920 x 1080,Full HD (FHD),6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//acer/nitro-5-an515-46-amd-r5-6600h-8gb-512gb-ssd-rtx3050-dos-15-6-fhd-nh-qgxey-001-canta-ve-mouse-p-362203628,22.799 TL,ACER
,USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,60 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,TN,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),11400,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//msi/gf63-thin-11ucx-1623xtr-intel-core-i5-11400h-8gb-512gb-ssd-rtx2050-freedos-15-6-laptop-p-766709934,23.499 TL,MSI
32 GB,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,Yok,Q Türkçe,Oyun,4.7,,Yok,IPS,16 GB,DDR5,Gri,512 GB,,,3.2,1920 x 1080,Full HD (FHD),6800H,Belirtilmemiş,AMD Ryzen 7,16,Free Dos,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g15-g513rc-hn193-amd-ryzen-7-6800h-16gb-ddr5-512gb-ssd-rtx3050-15-6-fhd-144hz-dos-p-678471910,30.649 TL,ASUS
